0.52	0.55	0.40	0.39	0.20	0.13	0.32	0.14	0.12	0.69
0.29	0.04	0.62	0.59	0.71	0.96	0.77	0.96	0.73	0.06	0.91	0.44	0.82	0.55	0.51
0.19	0.31	0.99	0.53	0.74	0.12	0.08	0.54	0.20	0.83	0.62	0.10	0.82	0.64	0.42
0.77	0.91	1.00	0.29	0.29	0.38	0.95	0.25	0.25	0.50	0.19	0.27	0.36	0.94	0.02
0.03	0.64	0.48	0.23	0.68	0.76	0.60	1.00	0.92	0.10	0.58	0.21	0.13	0.98	0.23
0.51	0.56	0.92	0.04	0.63	0.83	0.49	0.02	0.85	0.04	0.69	0.87	0.33	0.56	0.82
0.15	0.47	0.14	0.85	0.82	0.78	0.29	0.27	0.49	0.82	0.05	0.13	0.50	0.72	0.32
0.79	0.56	0.61	0.03	0.53	0.13	0.23	0.90	0.98	0.70	0.03	0.89	0.31	0.25	0.42
0.20	0.70	0.38	0.54	0.35	0.92	0.47	0.77	0.83	0.53	0.62	0.19	0.02	0.41	0.12
0.58	0.75	0.57	0.14	0.10	0.13	0.01	0.66	0.84	0.75	0.39	0.60	0.55	0.99	0.04
0.57	0.76	0.04	0.39	0.18	0.25	0.52	0.31	0.17	0.04	0.81	0.86	0.58	0.99	0.65
18	21	13	44	24	12	42	29	30	45	15	24	48	21	27
